Year,Date ,Time ,HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,Stage,Date,HomeTeam_encoded,AwayTeam_encoded,Stage_encoded,MatchOutcome
1976,01-Mar-76,,Nigeria , Zaire,4.0,2.0,Group stage,1976-03-01,31,44,1,1
1976,01-Mar-76,,Morocco , Sudan,2.0,2.0,Group stage,1976-03-01,28,38,1,0
1976,04-Mar-76,,Nigeria , Sudan,1.0,0.0,Group stage,1976-03-04,31,38,1,1
1976,04-Mar-76,,Morocco , Zaire,1.0,0.0,Group stage,1976-03-04,28,44,1,1
1976,06-Mar-76,,Morocco , Nigeria,3.0,1.0,Group stage,1976-03-06,28,33,1,1
1976,06-Mar-76,,Zaire , Sudan,1.0,1.0,Group stage,1976-03-06,42,38,1,0
1976,09-Mar-76,,Guinea , Nigeria,1.0,1.0,Group stage,1976-03-09,18,33,1,0
1976,09-Mar-76,,Morocco , Egypt,2.0,1.0,Group stage,1976-03-09,28,13,1,1
1976,11-Mar-76,,Morocco , Nigeria,2.0,1.0,Group stage,1976-03-11,28,33,1,1
1976,11-Mar-76,,Guinea , Egypt,4.0,2.0,Group stage,1976-03-11,18,13,1,1
1976,14-Mar-76,,Nigeria , Egypt,3.0,2.0,Group stage,1976-03-14,31,13,1,1
1976,14-Mar-76,,Guinea , Morocco,1.0,1.0,Group stage,1976-03-14,18,30,1,0
1978,05-Mar-78,,Ghana , Zambia,2.0,1.0,Group stage,1978-03-05,17,45,1,1
1978,05-Mar-78,,Nigeria , Upper Volta,4.0,2.0,Group stage,1978-03-05,31,43,1,1
1978,08-Mar-78,,Zambia , Upper Volta,2.0,0.0,Group stage,1978-03-08,43,43,1,1
1978,08-Mar-78,,Nigeria , Ghana,1.0,1.0,Group stage,1978-03-08,31,18,1,0
1978,10-Mar-78,,Zambia , Nigeria,0.0,0.0,Group stage,1978-03-10,43,33,1,0
1978,10-Mar-78,,Ghana , Upper Volta,3.0,0.0,Group stage,1978-03-10,17,43,1,1
1978,06-Mar-78,,Morocco , Tunisia,1.0,1.0,Group stage,1978-03-06,28,41,1,0
1978,06-Mar-78,,Uganda , Congo,3.0,1.0,Group stage,1978-03-06,40,8,1,1
1978,09-Mar-78,,Tunisia , Uganda,3.0,1.0,Group stage,1978-03-09,39,42,1,1
1978,09-Mar-78,,Morocco , Congo,1.0,0.0,Group stage,1978-03-09,28,8,1,1
1978,11-Mar-78,,Congo , Tunisia,0.0,0.0,Group stage,1978-03-11,8,41,1,0
1978,11-Mar-78,,Uganda , Morocco,3.0,0.0,Group stage,1978-03-11,40,30,1,1
1978,14-Mar-78,,Ghana , Tunisia,1.0,0.0,Semi-finals,1978-03-14,17,41,4,1
1978,14-Mar-78,,Uganda , Nigeria,2.0,1.0,Semi-finals,1978-03-14,40,33,4,1
1978,16-Mar-78,,Nigeria , Tunisia,1.0,11.0,Third place,1978-03-16,31,41,5,-1
1978,16-Mar-78,,Ghana , Uganda,2.0,0.0,Final,1978-03-16,17,42,0,1
1980,08-Mar-80,,Nigeria , Tanzania,3.0,1.0,Group stage,1980-03-08,31,39,1,1
1980,08-Mar-80,,Egypt , Ivory Coast,2.0,1.0,Group stage,1980-03-08,12,21,1,1
1980,12-Mar-80,,Egypt , Tanzania,2.0,1.0,Group stage,1980-03-12,12,39,1,1
1980,12-Mar-80,,Nigeria , Ivory Coast,0.0,0.0,Group stage,1980-03-12,31,21,1,0
1980,15-Mar-80,,Ivory Coast , Tanzania,1.0,1.0,Group stage,1980-03-15,20,39,1,0
1980,15-Mar-80,,Nigeria , Egypt,1.0,0.0,Group stage,1980-03-15,31,13,1,1
1980,09-Mar-80,,Ghana , Algeria,0.0,0.0,Group stage,1980-03-09,17,0,1,0
1980,09-Mar-80,,Morocco , Guinea,1.0,1.0,Group stage,1980-03-09,28,19,1,0
1980,13-Mar-80,,Algeria , Morocco,1.0,0.0,Group stage,1980-03-13,0,30,1,1
1980,13-Mar-80,,Ghana , Guinea,1.0,0.0,Group stage,1980-03-13,17,19,1,1
1980,16-Mar-80,,Algeria , Guinea,3.0,2.0,Group stage,1980-03-16,0,19,1,1
1980,16-Mar-80,,Morocco , Ghana,1.0,0.0,Group stage,1980-03-16,28,18,1,1
1980,19-Mar-80,,Nigeria , Morocco,1.0,0.0,Semi-finals,1980-03-19,31,30,4,1
1980,19-Mar-80,,Algeria , Egypt,2.0,2.0,Semi-finals,1980-03-19,0,13,4,0
1980,21-Mar-80,,Morocco , Egypt,2.0,0.0,Third place,1980-03-21,28,13,5,1
1980,22-Mar-80,,Nigeria , Algeria,3.0,0.0,Final,1980-03-22,31,0,0,1
1982,05-Mar-82,,Libya , Ghana,2.0,2.0,Group stage,1982-03-05,23,18,1,0
1982,05-Mar-82,,Cameroon , Tunisia,1.0,1.0,Group stage,1982-03-05,5,41,1,0
1982,09-Mar-82,,Cameroon , Ghana,0.0,0.0,Group stage,1982-03-09,5,18,1,0
1982,09-Mar-82,,Libya , Tunisia,2.0,0.0,Group stage,1982-03-09,23,41,1,1
1982,12-Mar-82,,Ghana , Tunisia,1.0,0.0,Group stage,1982-03-12,17,41,1,1
1982,12-Mar-82,,Libya , Cameroon,0.0,0.0,Group stage,1982-03-12,23,5,1,0
1982,07-Mar-82,,Nigeria , Ethiopia,3.0,0.0,Group stage,1982-03-07,31,15,1,1
1982,07-Mar-82,,Algeria , Zambia,1.0,0.0,Group stage,1982-03-07,0,45,1,1
1982,10-Mar-82,,Zambia , Ethiopia,1.0,0.0,Group stage,1982-03-10,43,15,1,1
1982,10-Mar-82,,Algeria , Nigeria,2.0,1.0,Group stage,1982-03-10,0,33,1,1
1982,13-Mar-82,,Algeria , Ethiopia,0.0,0.0,Group stage,1982-03-13,0,15,1,0
1982,13-Mar-82,,Zambia , Nigeria,3.0,0.0,Group stage,1982-03-13,43,33,1,1
1982,16-Mar-82,,Ghana , Algeria,3.0,2.0,Semi-finals,1982-03-16,17,0,4,1
1982,16-Mar-82,,Libya , Zambia,2.0,1.0,Semi-finals,1982-03-16,23,45,4,1
1982,18-Mar-82,,Zambia , Algeria,2.0,0.0,Third place,1982-03-18,43,0,5,1
1982,19-Mar-82,,Ghana , Libya,1.0,1.0,Final,1982-03-19,17,24,0,0
1984,04-Mar-84,,Ivory Coast , Togo,3.0,0.0,Group stage,1984-03-04,20,40,1,1
1984,04-Mar-84,,Egypt , Cameroon,1.0,0.0,Group stage,1984-03-04,12,5,1,1
1984,07-Mar-84,,Cameroon , Togo,4.0,1.0,Group stage,1984-03-07,5,40,1,1
1984,07-Mar-84,,Ivory Coast , Egypt,1.0,2.0,Group stage,1984-03-07,20,13,1,-1
1984,10-Mar-84,,Egypt , Togo,0.0,0.0,Group stage,1984-03-10,12,40,1,0
1984,10-Mar-84,,Ivory Coast , Cameroon,0.0,2.0,Group stage,1984-03-10,20,5,1,-1
1984,05-Mar-84,,Ghana , Nigeria,1.0,2.0,Group stage,1984-03-05,17,33,1,-1
1984,05-Mar-84,,Algeria , Malawi,3.0,0.0,Group stage,1984-03-05,0,26,1,1
1984,08-Mar-84,,Malawi , Nigeria,2.0,2.0,Group stage,1984-03-08,25,33,1,0
1984,08-Mar-84,,Algeria , Ghana,2.0,0.0,Group stage,1984-03-08,0,18,1,1
1984,11-Mar-84,,Algeria , Nigeria,0.0,0.0,Group stage,1984-03-11,0,33,1,0
1984,11-Mar-84,,Ghana , Malawi,1.0,0.0,Group stage,1984-03-11,17,26,1,1
1984,14-Mar-84,,Egypt , Nigeria,2.0,2.0,Semi-finals,1984-03-14,12,33,4,0
1984,14-Mar-84,,Algeria , Cameroon,0.0,0.0,Semi-finals,1984-03-14,0,5,4,0
1984,17-Mar-84,,Algeria , Egypt,3.0,1.0,Third place,1984-03-17,0,13,5,1
1984,18-Mar-84,,Cameroon , Nigeria,3.0,1.0,Final,1984-03-18,5,33,0,1
1986,07-Mar-86,,Senegal , Egypt,1.0,0.0,Group stage,1986-03-07,33,13,1,1
1986,07-Mar-86,,Ivory Coast , Mozambique,3.0,0.0,Group stage,1986-03-07,20,31,1,1
1986,10-Mar-86,,Senegal , Mozambique,2.0,0.0,Group stage,1986-03-10,33,31,1,1
1986,10-Mar-86,,Egypt , Ivory Coast,2.0,0.0,Group stage,1986-03-10,12,21,1,1
1986,13-Mar-86,,Ivory Coast , Senegal,1.0,0.0,Group stage,1986-03-13,20,35,1,1
1986,13-Mar-86,,Egypt , Mozambique,2.0,0.0,Group stage,1986-03-13,12,31,1,1
1986,08-Mar-86,,Algeria , Morocco,0.0,0.0,Group stage,1986-03-08,0,30,1,0
1986,08-Mar-86,,Cameroon , Zambia,3.0,2.0,Group stage,1986-03-08,5,45,1,1
1986,11-Mar-86,,Algeria , Zambia,0.0,0.0,Group stage,1986-03-11,0,45,1,0
1986,11-Mar-86,,Cameroon , Morocco,1.0,1.0,Group stage,1986-03-11,5,30,1,0
1986,14-Mar-86,,Morocco , Zambia,1.0,0.0,Group stage,1986-03-14,28,45,1,1
1986,14-Mar-86,,Cameroon , Algeria,3.0,2.0,Group stage,1986-03-14,5,0,1,1
1986,17-Mar-86,,Cameroon , Ivory Coast,1.0,0.0,Semi-finals,1986-03-17,5,21,4,1
1986,17-Mar-86,,Egypt , Morocco,1.0,0.0,Semi-finals,1986-03-17,12,30,4,1
1986,20-Mar-86,,Ivory Coast , Morocco,3.0,2.0,Third place,1986-03-20,20,30,5,1
1986,21-Mar-86,,Egypt , Cameroon,0.0,0.0,Final,1986-03-21,12,5,0,0
1988,13-Mar-88,,Morocco , Zaire,1.0,1.0,Group stage,1988-03-13,28,44,1,0
1988,13-Mar-88,,Ivory Coast , Algeria,1.0,1.0,Group stage,1988-03-13,20,0,1,0
1988,16-Mar-88,,Ivory Coast , Zaire,1.0,1.0,Group stage,1988-03-16,20,44,1,0
1988,16-Mar-88,,Morocco , Algeria,1.0,0.0,Group stage,1988-03-16,28,0,1,1
1988,19-Mar-88,,Algeria , Zaire,1.0,0.0,Group stage,1988-03-19,0,44,1,1
1988,19-Mar-88,,Morocco , Ivory Coast,0.0,0.0,Group stage,1988-03-19,28,21,1,0
1988,14-Mar-88,,Cameroon , Egypt,1.0,0.0,Group stage,1988-03-14,5,13,1,1
1988,14-Mar-88,,Nigeria , Kenya,3.0,0.0,Group stage,1988-03-14,31,22,1,1
1988,17-Mar-88,,Cameroon , Nigeria,1.0,1.0,Group stage,1988-03-17,5,33,1,0
1988,17-Mar-88,,Egypt , Kenya,3.0,0.0,Group stage,1988-03-17,12,22,1,1
1988,20-Mar-88,,Cameroon , Kenya,0.0,0.0,Group stage,1988-03-20,5,22,1,0
1988,20-Mar-88,,Nigeria , Egypt,0.0,0.0,Group stage,1988-03-20,31,13,1,0
1988,23-Mar-88,,Nigeria , Algeria,1.0,1.0,Semi-finals,1988-03-23,31,0,4,0
1988,23-Mar-88,,Morocco , Cameroon,0.0,1.0,Semi-finals,1988-03-23,28,5,4,-1
1988,26-Mar-88,,Morocco , Algeria,1.0,1.0,Third place,1988-03-26,28,0,5,0
1988,27-Mar-88,,Cameroon , Nigeria,1.0,0.0,Final,1988-03-27,5,33,0,1
1990,02-Mar-90,,Algeria , Nigeria,5.0,1.0,Group stage,1990-03-02,0,33,1,1
1990,02-Mar-90,,Ivory Coast , Egypt,3.0,1.0,Group stage,1990-03-02,20,13,1,1
1990,05-Mar-90,,Nigeria , Egypt,1.0,0.0,Group stage,1990-03-05,31,13,1,1
1990,05-Mar-90,,Algeria , Ivory Coast,3.0,0.0,Group stage,1990-03-05,0,21,1,1
1990,08-Mar-90,,Nigeria , Ivory Coast,1.0,0.0,Group stage,1990-03-08,31,21,1,1
1990,08-Mar-90,,Algeria , Egypt,2.0,0.0,Group stage,1990-03-08,0,13,1,1
1990,03-Mar-90,,Zambia , Cameroon,1.0,0.0,Group stage,1990-03-03,43,5,1,1
1990,03-Mar-90,,Senegal , Kenya,0.0,0.0,Group stage,1990-03-03,33,22,1,0
1990,06-Mar-90,,Zambia , Kenya,1.0,0.0,Group stage,1990-03-06,43,22,1,1
1990,06-Mar-90,,Senegal , Cameroon,2.0,0.0,Group stage,1990-03-06,33,5,1,1
1990,09-Mar-90,,Zambia , Senegal,0.0,0.0,Group stage,1990-03-09,43,35,1,0
1990,09-Mar-90,,Cameroon , Kenya,2.0,0.0,Group stage,1990-03-09,5,22,1,1
1990,12-Mar-90,,Zambia , Nigeria,0.0,2.0,Semi-finals,1990-03-12,43,33,4,-1
1990,12-Mar-90,,Algeria , Senegal,2.0,1.0,Semi-finals,1990-03-12,0,35,4,1
1990,15-Mar-90,,Zambia , Senegal,1.0,0.0,Third place,1990-03-15,43,35,5,1
1990,16-Mar-90,16:00,Algeria , Nigeria,1.0,0.0,Final,1990-03-16,0,33,0,1
1992,12-Jan-92,,Nigeria , Senegal,2.0,1.0,Group stage,1992-01-12,31,35,1,1
1992,14-Jan-92,,Nigeria , Kenya,2.0,1.0,Group stage,1992-01-14,31,22,1,1
1992,16-Jan-92,,Senegal , Kenya,3.0,0.0,Group stage,1992-01-16,33,22,1,1
1992,12-Jan-92,,Cameroon , Morocco,1.0,0.0,Group stage,1992-01-12,5,30,1,1
1992,14-Jan-92,,Morocco , Zaire,1.0,1.0,Group stage,1992-01-14,28,44,1,0
1992,16-Jan-92,,Cameroon , Zaire,1.0,1.0,Group stage,1992-01-16,5,44,1,0
1992,13-Jan-92,,Ivory Coast , Algeria,3.0,0.0,Group stage,1992-01-13,20,0,1,1
1992,15-Jan-92,,Ivory Coast , Congo,0.0,0.0,Group stage,1992-01-15,20,8,1,0
1992,17-Jan-92,,Algeria , Congo,1.0,1.0,Group stage,1992-01-17,0,8,1,0
1992,13-Jan-92,,Zambia , Egypt,1.0,0.0,Group stage,1992-01-13,43,13,1,1
1992,15-Jan-92,,Ghana , Zambia,1.0,0.0,Group stage,1992-01-15,17,45,1,1
1992,17-Jan-92,,Ghana , Egypt,1.0,0.0,Group stage,1992-01-17,17,13,1,1
1992,19-Jan-92,,Nigeria , Zaire,1.0,0.0,Quarter-finals,1992-01-19,31,44,2,1
1992,19-Jan-92,,Cameroon , Senegal,1.0,0.0,Quarter-finals,1992-01-19,5,35,2,1
1992,20-Jan-92,,Ivory Coast , Zambia,1.0,0.0,Quarter-finals,1992-01-20,20,45,2,1
1992,20-Jan-92,,Ghana , Congo,2.0,1.0,Quarter-finals,1992-01-20,17,8,2,1
1992,23-Jan-92,,Ghana , Nigeria,2.0,1.0,Semi-finals,1992-01-23,17,33,4,1
1992,23-Jan-92,,Cameroon , Ivory Coast,0.0,0.0,Semi-finals,1992-01-23,5,21,4,0
1992,25-Jan-92,,Nigeria , Cameroon,2.0,1.0,Third place,1992-01-25,31,5,5,1
1992,26-Jan-92,,Ivory Coast , Ghana,0.0,0.0,Final,1992-01-26,20,18,0,0
1994,26-Mar-94,,Tunisia , Mali,0.0,2.0,Group stage,1994-03-26,39,27,1,-1
1994,28-Mar-94,,Mali , Zaire,0.0,1.0,Group stage,1994-03-28,26,44,1,-1
1994,30-Mar-94,,Tunisia , Zaire,1.0,1.0,Group stage,1994-03-30,39,44,1,0
1994,26-Mar-94,,Nigeria , Gabon,3.0,0.0,Group stage,1994-03-26,31,16,1,1
1994,28-Mar-94,,Egypt , Gabon,4.0,0.0,Group stage,1994-03-28,12,16,1,1
1994,30-Mar-94,,Nigeria , Egypt,0.0,0.0,Group stage,1994-03-30,31,13,1,0
1994,27-Mar-94,,Ivory Coast , Sierra Leone,4.0,0.0,Group stage,1994-03-27,20,36,1,1
1994,29-Mar-94,,Zambia , Sierra Leone,0.0,0.0,Group stage,1994-03-29,43,36,1,0
1994,31-Mar-94,,Zambia , Ivory Coast,1.0,0.0,Group stage,1994-03-31,43,21,1,1
1994,27-Mar-94,,Ghana , Guinea,1.0,0.0,Group stage,1994-03-27,17,19,1,1
1994,29-Mar-94,,Senegal , Guinea,2.0,1.0,Group stage,1994-03-29,33,19,1,1
1994,31-Mar-94,,Ghana , Senegal,1.0,0.0,Group stage,1994-03-31,17,35,1,1
1994,02-Apr-94,,Zaire , Nigeria,0.0,2.0,Quarter-finals,1994-04-02,42,33,2,-1
1994,02-Apr-94,,Egypt , Mali,0.0,1.0,Quarter-finals,1994-04-02,12,27,2,-1
1994,03-Apr-94,,Zambia , Senegal,1.0,0.0,Quarter-finals,1994-04-03,43,35,2,1
1994,03-Apr-94,,Ghana , Ivory Coast,1.0,2.0,Quarter-finals,1994-04-03,17,21,2,-1
1994,06-Apr-94,,Nigeria , Ivory Coast,2.0,2.0,Semi-finals,1994-04-06,31,21,4,0
1994,06-Apr-94,,Zambia , Mali,4.0,0.0,Semi-finals,1994-04-06,43,27,4,1
1994,10-Apr-94,,Ivory Coast , Mali,3.0,1.0,Third place,1994-04-10,20,27,5,1
1994,10-Apr-94,,Nigeria , Zambia,2.0,1.0,Final,1994-04-10,31,45,0,1
1996,13-Jan-96,,South Africa , Cameroon,3.0,0.0,Group stage,1996-01-13,35,5,1,1
1996,15-Jan-96,,Egypt , Angola,2.0,1.0,Group stage,1996-01-15,12,1,1,1
1996,18-Jan-96,,Cameroon , Egypt,2.0,1.0,Group stage,1996-01-18,5,13,1,1
1996,20-Jan-96,,South Africa , Angola,1.0,0.0,Group stage,1996-01-20,35,1,1,1
1996,24-Jan-96,,South Africa , Egypt,0.0,1.0,Group stage,1996-01-24,35,13,1,-1
1996,24-Jan-96,,Angola , Cameroon,3.0,3.0,Group stage,1996-01-24,1,5,1,0
1996,14-Jan-96,,Zambia , Algeria,0.0,0.0,Group stage,1996-01-14,43,0,1,0
1996,15-Jan-96,,Sierra Leone , Burkina Faso,2.0,1.0,Group stage,1996-01-15,34,3,1,1
